fd,mu,rfi,g1,g2,g3,mu_is_key,rfi_fi
"['b', 'c', 'e', 'g']->d",0.610198145686973,0.3373453597404951,0.9917110280167253,0.4377682403433476,0.8869814020028612,False,0.8307097034809177
"['c', 'f']->j",0.25142734587990523,0.2844531781654188,0.9906672315447573,0.07582260371959992,0.8483547925608012,False,0.4975008324835286
"['d', 'f', 'h']->c",0.5975658292878425,0.41486543619685856,0.9931355032019992,0.28898426323319015,0.8483547925608012,False,0.7962405333176119
"['b', 'd']->k",0.8492948947557069,0.7474062324772187,0.9991363095859402,0.742489270386266,0.9556509298998569,False,0.8520920503242396
"['b', 'd', 'f']->i",0.5184591008133047,0.3399339890954655,0.9942898193004107,0.3004291845493564,0.8526466380543634,False,0.7660399851505616
"['b', 'i']->j",0.27485058909464943,0.2629789417228765,0.9942693527029212,0.11444921316165957,0.8497854077253219,False,0.5080269814023594
"['b', 'c']->k",0.854993425336193,0.755586149215484,0.9990830964324674,0.7768240343347639,0.9556509298998569,False,0.8624563048163292
"['c', 'f', 'h']->i",0.5596169744425203,0.3932300552806393,0.9920384935765584,0.29041487839771096,0.8597997138769671,False,0.7745406534319248
"['b', 'c', 'd', 'e', 'g']->f",0.5263462907151026,0.26190647312740867,0.9903397659849243,0.5107296137339055,0.8912732474964234,False,0.8222071322317102
"['c', 'd', 'f', 'h']->g",0.6183316959794023,0.33439891912294545,0.9914531488883568,0.44492131616595143,0.9027181688125894,False,0.8092078795859798
"['b', 'h']->k",0.8275648858304572,0.7241962062933577,0.9982808058108763,0.7224606580829757,0.9527896995708155,False,0.8277913383409136
"['b', 'e', 'f']->c",0.5369729002243119,0.35704480130655175,0.9924887587213288,0.28755364806866957,0.8412017167381974,False,0.7751159858234832
"['b', 'c', 'f']->e",0.41423371699528266,0.30528214011682486,0.9912976027474361,0.217453505007153,0.7968526466380543,False,0.6996114465457721
"['b', 'd', 'f']->e",0.41701205850457235,0.29848481737512966,0.9918952273941314,0.24034334763948506,0.8082975679542204,False,0.7171578849704192
"['b', 'd', 'f', 'g', 'h']->a",0.012027243135416366,0.0025597984741334567,0.9901596599270162,0.4821173104434907,0.5665236051502146,False,0.8127343088263131
"['b', 'g']->k",0.8677455181636208,0.7456498656014352,0.9979287803340559,0.5650929899856938,0.9628040057224606,False,0.8554727909068007
"['d', 'f', 'h']->i",0.5268900084443566,0.37431496722688495,0.9923659591363915,0.29041487839771096,0.8483547925608012,False,0.7635153094536282
"['d', 'e']->j",0.27056659895675494,0.27108105013400785,0.9907368179762219,0.128755364806867,0.8469241773962803,False,0.5083450700205477
"['c', 'd', 'f', 'h']->e",0.5376594100070369,0.31839892633226624,0.9900532336200704,0.3633762517882688,0.882689556509299,False,0.7918736819640174
"['d', 'e', 'h']->i",0.5705097914177206,0.38374570656577583,0.9911707098430007,0.3047210300429185,0.8712446351931331,False,0.7873807447115052
"['f', 'g']->k",0.8547244933083222,0.7557520021337885,0.9993246022828443,0.7868383404864092,0.9585121602288984,False,0.857157742782597
"['c', 'e', 'f', 'h']->g",0.6446811958387397,0.33917589572536566,0.9911215900090258,0.4391988555078684,0.9141630901287554,False,0.82580787293481
"['b', 'e', 'h']->g",0.5175423546899787,0.30534996229231615,0.9951412297559767,0.35622317596566533,0.8526466380543634,False,0.7479380761644722
"['h', 'i']->j",0.2540863221411769,0.25320029627170865,0.9918379209211606,0.0858369098712446,0.8469241773962803,False,0.4719371584385308
"['e', 'f', 'h', 'i']->c",0.667217999322696,0.375269385116964,0.9906058317522887,0.402002861230329,0.9141630901287554,False,0.8462622335782195
"['f', 'g', 'h']->i",0.5011925912638101,0.36422278108986395,0.9903152060679368,0.2703862660944205,0.8383404864091559,False,0.7396445814951614
"['b', 'e', 'h']->f",0.4048845557840344,0.2727366863157453,0.9927834777251786,0.2904148783977111,0.804005722460658,False,0.7074852478353859
"['b', 'f']->k",0.8104086325364226,0.7121912858053703,0.9978878471390766,0.6781115879828327,0.9427753934191703,False,0.8097017871802823
"['b', 'e', 'f']->g",0.5201058483172336,0.3149374665702165,0.9901883131635015,0.3190271816881258,0.8569384835479256,False,0.7355451062030248
"['c', 'd', 'i']->j",0.47791527312893656,0.3553952760203415,0.9913590025399047,0.3605150214592274,0.9027181688125894,False,0.7106715951351783
"['b', 'f', 'h']->d",0.42902264726329975,0.2881256417031311,0.9934015689693636,0.32331902718168826,0.7997138769670958,False,0.725174198599176
"['c', 'f']->k",0.8331316349888218,0.732247522861435,0.9973147824093688,0.28469241773962817,0.9513590844062947,False,0.8255319642953676
"['b', 'g', 'h']->f",0.3794518162313021,0.26689019359275196,0.992480572082333,0.27610872675250353,0.7882689556509299,False,0.6686425715346607
"['b', 'g', 'h']->e",0.40179056191007645,0.27173443361987776,0.9943962456073565,0.25178826895565076,0.8025751072961373,False,0.6790010360880372
"['b', 'd', 'e']->i",0.5515470556116351,0.3557785255578189,0.9944330854828377,0.33619456366237477,0.8655221745350501,False,0.7839073092044774
"['d', 'f']->k",0.8428682188852006,0.7384074035614139,0.9974826085087832,0.31616595135908443,0.9556509298998569,False,0.8356052443301588
"['b', 'h', 'i']->g",0.5136240553719795,0.3116377984276494,0.993950073782084,0.3075822603719599,0.8555078683834049,False,0.7376915329296185
"['b', 'c', 'e', 'f', 'g', 'h']->a",0.013577797009187376,0.002254587804358943,0.9902947394704472,0.530758226037196,0.5994277539341917,False,0.8221188882314109
"['f', 'h']->k",0.7939469567090778,0.6754334695175779,0.9953991088843454,0.2889842632331904,0.944206008583691,False,0.7726265380152635
"['b', 'c', 'e']->i",0.5622679117982916,0.37163195208338035,0.9941301798399922,0.31902718168812594,0.8669527896995708,False,0.7830480717131062
"['b', 'e', 'f']->i",0.550905211528016,0.3519768977619502,0.9936881013342175,0.32904148783977105,0.8683834048640915,False,0.7779470781238055
"['b', 'c', 'd', 'e']->g",0.606544885542609,0.3049618091824463,0.9906795115032511,0.4577968526466383,0.9055793991416309,False,0.8063435823538762
"['f', 'g', 'i']->j",0.5141410318589863,0.38093040335731476,0.9923332125804082,0.3834048640915595,0.9155937052932761,False,0.7469201343868813
"['b', 'c', 'e', 'f']->d",0.6112698399539306,0.3218111324118108,0.9913057893864319,0.45922746781115886,0.8984263233190272,False,0.837750843783259
"['b', 'h', 'i']->f",0.41904873893951644,0.28843495591312207,0.9915677618342983,0.2947067238912733,0.8168812589413448,False,0.7055645523033935
"['b', 'd', 'g']->e",0.408195864980308,0.2965627564174152,0.990302926109443,0.24177396280400576,0.8025751072961373,False,0.685256888541113
"['d', 'g', 'h']->i",0.4959489885032293,0.35656365775206594,0.9904830321673512,0.2589413447782545,0.8412017167381974,False,0.733202688957243
"['b', 'g']->j",0.22314943933206044,0.21417683128194887,0.9925215052773122,0.21888412017167402,0.844062947067239,False,0.4541182846877897
"['d', 'e']->k",0.809164653560982,0.697305481615138,0.9971428629904564,0.31902718168812594,0.944206008583691,False,0.8102955766423506
"['b', 'g', 'h']->d",0.4000939591524034,0.2829506856790899,0.9926156516257642,0.2618025751072961,0.7796852646638055,False,0.6841948388612119
"['b', 'd', 'g']->i",0.4714245559316448,0.32746118402359475,0.9932501161479408,0.28326180257510725,0.8297567954220315,False,0.7238775622717569
"['d', 'e', 'f', 'g', 'i']->c",0.7850702755384354,0.3961612562015471,0.9928571574761411,0.49499284692417733,0.9527896995708155,False,0.9086242712181769
"['b', 'd', 'e', 'i']->g",0.6284040846609489,0.3079081562849785,0.9909292039926239,0.46208869814020037,0.9170243204577968,False,0.8172528903794745
"['c', 'g', 'h']->i",0.4915128495820853,0.36931465090585414,0.9906181117107824,0.21888412017167358,0.8283261802575107,False,0.725954185540569
"['b', 'e']->k",0.7981622589254609,0.6942316819537047,0.9977323009981559,0.7296137339055793,0.944206008583691,False,0.8050864707164271
"['b', 'c', 'g']->i",0.5181094417508246,0.3620820052890287,0.9939459804625861,0.28326180257510725,0.8397711015736766,False,0.7446996547685215
"['d', 'g', 'i']->j",0.5146842179203328,0.3632718865212028,0.9932009963139657,0.36623748211731066,0.9127324749642346,False,0.7449613714209677
"['b', 'f', 'g']->i",0.4749595457198129,0.3291045989327862,0.9927793844056807,0.28612303290414876,0.8311874105865522,False,0.7249536259574346
"['g', 'h']->j",0.2101085107142585,0.21529528587483565,0.9913630958594026,0.09155937052932739,0.844062947067239,False,0.43353087242939486
