threshold,dataset,lhs_size,fd,rfi_prime_plus,mu_plus,g3_prime
0.01,wifi_hotspot_location,1,['Neighborhood Tabulation Area Code (NTACODE)']->Borough Name,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['Neighborhood Tabulation Area Code (NTACODE)']->Borough,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['Neighborhood Tabulation Area (NTA)']->Borough Name,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['Neighborhood Tabulation Area (NTA)']->Borough,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['Borough']->Borough Name,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['BoroCode']->Borough Name,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['BoroCode']->Borough,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['Borough Name']->Borough,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['OBJECTID']->DOITT_ID,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['OBJECTID']->Council Distrcit,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['OBJECTID']->BIN,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['Latitude']->Council Distrcit,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['Longitude']->Council Distrcit,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['X']->Council Distrcit,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['Y']->Council Distrcit,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['DOITT_ID']->Council Distrcit,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['DOITT_ID']->BIN,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['OBJECTID']->Census Tract,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['DOITT_ID']->Census Tract,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['BCTCB2010']->Census Tract,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['OBJECTID']->SSID,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['Latitude']->SSID,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['Longitude']->SSID,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['X']->SSID,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['Y']->SSID,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['DOITT_ID']->SSID,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['OBJECTID']->BoroCode,1.000,1.000,1.000
