threshold,dataset,lhs_size,fd,rfi_prime_plus,mu_plus,g3_prime
0.001,sisu_ufpr_curitiba_politecnico,2,"['CO_IES_CURSO', 'NU_CLASSIFICACAO']->TP_MOD_CONCORRENCIA",0.0,0.0,0.5771513353115727
0.001,sisu_ufpr_curitiba_politecnico,2,"['CO_IES_CURSO', 'NU_CLASSIFICACAO']->ST_OPCAO",0.0654273862403502,0.0642828148720261,0.6765578635014837
0.001,sisu_ufpr_curitiba_politecnico,2,"['NU_CLASSIFICACAO', 'NU_NOTACORTE']->DT_NASCIMENTO",1.0,1.0,1.0
0.001,sisu_ufpr_curitiba_politecnico,2,"['NU_CLASSIFICACAO', 'NU_NOTACORTE']->NU_NOTA_CANDIDATO",1.0,1.0,1.0
0.001,sisu_ufpr_curitiba_politecnico,2,"['NU_CLASSIFICACAO', 'NU_NOTACORTE']->NU_CPF",1.0,1.0,1.0
0.001,sisu_ufpr_curitiba_politecnico,2,"['NO_CURSO', 'NU_CLASSIFICACAO']->TP_MOD_CONCORRENCIA",0.0,0.0,0.5923129718599863
0.001,sisu_ufpr_curitiba_politecnico,2,"['NO_CURSO', 'NU_CLASSIFICACAO']->ST_OPCAO",0.0377292433836333,0.0351046932780451,0.6678105696636926
0.001,sisu_ufpr_curitiba_politecnico,2,"['NO_CURSO', 'NU_CLASSIFICACAO']->TP_SEXO",0.2265672851360634,0.2458276934776958,0.7110501029512697
0.001,sisu_ufpr_curitiba_politecnico,2,"['NO_CURSO', 'NU_CLASSIFICACAO']->SG_UF_CANDIDATO",0.0,0.0,0.7652711050102952
0.001,sisu_ufpr_curitiba_politecnico,1,['NU_NOTACORTE']->DS_TURNO,1.0,0.9992565956204792,1.0
0.001,sisu_ufpr_curitiba_politecnico,1,['NU_CPF']->DS_TURNO,0.0,0.0,0.0
0.001,sisu_ufpr_curitiba_politecnico,1,['NO_INSCRITO']->DS_TURNO,0.0,0.0,0.0
0.001,sisu_ufpr_curitiba_politecnico,1,['NU_NOTA_CANDIDATO']->DS_TURNO,0.0,0.0,0.3838862559241706
0.001,sisu_ufpr_curitiba_politecnico,1,['DT_NASCIMENTO']->DS_TURNO,0.0163730469062752,0.0203346866588542,0.4549180327868852
0.001,sisu_ufpr_curitiba_politecnico,1,['CO_INSCRICAO_ENEM']->DS_TURNO,0.0130240018927788,0.0164298142112769,0.4870175438596491
0.001,sisu_ufpr_curitiba_politecnico,2,"['NO_CURSO', 'NU_CLASSIFICACAO']->DS_TURNO",0.6122817985169428,0.5692196745269955,0.7638984214138641
0.001,sisu_ufpr_curitiba_politecnico,1,['NU_CPF']->NO_INSCRITO,0.0,0.0,0.0
0.001,sisu_ufpr_curitiba_politecnico,1,['NU_NOTA_CANDIDATO']->NO_INSCRITO,0.0,0.0,0.0
0.001,sisu_ufpr_curitiba_politecnico,1,['DT_NASCIMENTO']->NO_INSCRITO,0.0,0.0,0.0
0.001,sisu_ufpr_curitiba_politecnico,2,"['NU_CLASSIFICACAO', 'NU_NOTACORTE']->NO_INSCRITO",1.0,1.0,1.0
0.001,sisu_ufpr_curitiba_politecnico,1,['NU_NOTACORTE']->CO_IES_CURSO,1.0,0.9995188799752188,1.0
0.001,sisu_ufpr_curitiba_politecnico,1,['NU_CPF']->CO_IES_CURSO,0.0,0.0,0.0
0.001,sisu_ufpr_curitiba_politecnico,1,['NO_INSCRITO']->CO_IES_CURSO,0.0,0.0,0.0
0.001,sisu_ufpr_curitiba_politecnico,1,['NU_NOTA_CANDIDATO']->CO_IES_CURSO,0.0038458220605934,0.0,0.0568720379146919
0.001,sisu_ufpr_curitiba_politecnico,1,['DT_NASCIMENTO']->CO_IES_CURSO,0.0,0.0,0.0669398907103825
0.001,sisu_ufpr_curitiba_politecnico,1,['CO_INSCRICAO_ENEM']->CO_IES_CURSO,0.0056175167637481,0.0037875542226951,0.0884210526315789
0.001,sisu_ufpr_curitiba_politecnico,1,['NU_CPF']->CO_INSCRICAO_ENEM,0.0,0.0,0.0
0.001,sisu_ufpr_curitiba_politecnico,1,['NO_INSCRITO']->CO_INSCRICAO_ENEM,0.0,0.0,0.0
0.001,sisu_ufpr_curitiba_politecnico,1,['NU_NOTA_CANDIDATO']->CO_INSCRICAO_ENEM,0.0034906056106468,0.003745009309136,0.0047393364928909
0.001,sisu_ufpr_curitiba_politecnico,1,['DT_NASCIMENTO']->CO_INSCRICAO_ENEM,0.0,0.0,0.0013661202185792
0.001,sisu_ufpr_curitiba_politecnico,2,"['NU_CLASSIFICACAO', 'NU_NOTACORTE']->CO_INSCRICAO_ENEM",1.0,1.0,1.0
