fd,mu,rfi,g1,g2,g3,mu_is_key,rfi_fi
['first_name']->middle_name,-0.16007607955412495,-0.009304245512388398,0.995973,0.3809999999999999,0.563,False,0.778158825242328
['first_name']->race,0.1282412215829979,0.06637897490300637,0.999506,0.7869999999999999,0.953,False,0.6643242220943635
['zip_code']->gender,0.026999925111942935,0.0233720915997411,0.993914,0.19599999999999984,0.7130000000000001,False,0.26038523632524846
['age']->name_suffix,-0.08114751880427429,0.05672614128890108,0.997784,0.956,0.991,False,0.28391445445762103
['last_name']->city,0.18287220374717683,0.02529865562058342,0.998698,0.5549999999999999,0.737,False,0.8891287088307938
['zip_code']->ethnic,0.24202463195769242,0.1651288586902397,0.998792,0.704,0.962,False,0.5374402901214579
['zip_code']->birth_place,0.1433587473249034,0.21752032628195317,0.997954,0.5319999999999999,0.945,False,0.6852204369248798
['zip_code']->race,0.3390761088112162,0.22741724152779857,0.99915,0.6699999999999999,0.953,False,0.6078019441839732
['first_name']->city,0.019653953773205224,0.008382249281271625,0.995752,0.2989999999999998,0.517,False,0.7564005745617574
['middle_name']->ethnic,-1.9906254127795027,0.2886161395647042,0.999656,0.822,0.981,False,0.7823236293284601
['city']->birth_place,0.1250203214080643,0.19289227573123774,0.996349,0.46499999999999986,0.933,False,0.6198504573227445
['city']->race,0.29658781893932984,0.21415588205731434,0.998354,0.5299999999999999,0.947,False,0.5559230586837972
['register_date']->ethnic,0.1486177838977255,0.09539579668222947,0.996986,0.43500000000000005,0.965,False,0.4527358116149528
['register_date']->race,0.5487096071129058,0.3391051321850025,0.997598,0.572,0.972,False,0.7058178380560767
['city']->ethnic,0.15280211858874415,0.1289039536659698,0.996532,0.679,0.959,False,0.4618270208394175
['age']->race,0.19307455786728767,0.22467009596957768,0.99733,0.3859999999999999,0.9339999999999999,False,0.39558880408962876
['voter_reg_num']->download_month,-0.964099640209978,-0.0009046769670801869,0.999998,0.998,0.999,False,0.9981569584393861
['age']->ethnic,0.15811194022799224,0.11564122217773332,0.995982,0.22999999999999998,0.956,False,0.2731371385334204
['street_address']->download_month,0.025744226086324762,0.000913010115719981,0.999954,0.957,0.98,False,0.9612961272271086
['middle_name']->race,-1.4922712296343112,0.18654656164981204,0.999214,0.701,0.965,False,0.6849278685801158
